AISLE,SHELF,DESCRIPTION,SIZE,DEPARTMENT,ECOMM_DESCRIPTION,SIGN_DESCRIPTION
400,6,BSTCHC SANDWICH 20OZ                ,20 OZ     ,001,NULL,NULL
2,1,KRAFT BBQ SCE SMOKE                 ,128 OZ    ,001,NULL,NULL
2,1,KRAFT BBQ SCE ORIGN                 ,128 OZ    ,001,NULL,NULL
2,1,HEINZ KETCHUP 10 LB                 ,114OZ     ,040,NULL,NULL
2,2,PEANUT PATCH PNUTS CAJUN 6.6LB      ,96 OZ     ,030,NULL,NULL
2,2,PP BOILED PNUT                      ,96 OZ     ,030,NULL,NULL
2,2,AN SYRP PK SWT POT                  ,#10       ,040,NULL,NULL
2,3,BST-CH TOMATO SAUCE                 ,106 OZ    ,001,NULL,NULL
2,3,BST-CH  WHL PEEL TOM                ,102 OZ    ,001,NULL,NULL
2,3,BST-CH DICED TOM                    ,102 OZ    ,001,NULL,NULL
2,4,VEG ALL MIXED VEGS                  ,106 OZ    ,001,NULL,NULL
2,4,BUSH BEST CHILI BEAN                ,111 OZ    ,001,NULL,NULL
2,4,BST-CH CHILI BEANS                  ,108 OZ    ,001,NULL,NULL
2,5,BST-CH RED KDNY BEAN                ,107 OZ    ,001,NULL,NULL
2,5,BST-CH WHL KRNL CORN                ,106 OZ    ,001,NULL,NULL
2,5,ALLN BL GRN BEANS                   ,38 OZ     ,001,NULL,NULL
2,5,ALLN GRN BNS POT                    ,38 OZ     ,001,NULL,NULL
2,6,BST-CH SWT PCK RELIS                ,128 OZ    ,001,NULL,NULL
2,6,BST-CH  WH DILL PCKL                ,128 OZ    ,001,NULL,NULL
2,6,BST-CH EXT HOT DILL                 ,128 OZ    ,001,NULL,NULL
2,6,BST-CH SL HAM DILLS                 ,128 OZ    ,001,NULL,NULL
2,1,BST-CH  KETCHUP                     ,115 OZ    ,001,NULL,NULL
2,1,BST-CH CHDR CHS SCE                 ,107 OZ    ,001,NULL,NULL
2,1,BST-CH JLPN CHS SCE                 ,107 OZ    ,001,NULL,NULL
2,1,BLUE PLATE MAYO                     ,128 OZ    ,001,NULL,NULL
2,2,HRML CHILI NO BEAN                  ,108 OZ    ,001,NULL,NULL
2,2,BST-CH FRT CKTL XLIT                ,104 OZ    ,001,NULL,NULL
2,2,BST-CH LT SLC PEACH                 ,106 OZ    ,001,NULL,NULL
2,3,BST-CH CRUSHED TOM                  ,105 OZ    ,001,NULL,NULL
2,3,BST-CH PEACH HALVES                 ,105 OZ    ,001,NULL,NULL
2,4,BST-CH RED BEANS                    ,107 OZ    ,001,NULL,NULL
2,4,BUSH BAKED BEAN ORIG                ,117 OZ    ,001,NULL,NULL
2,4,SHOWBOAT PORK N BEAN                ,112OZ     ,001,NULL,NULL
2,4,BST-CH PORK & BEANS                 ,104 OZ    ,001,NULL,NULL
2,5,BST-CH WHITE HOMINY                 ,105 OZ    ,001,NULL,NULL
2,5,BST-CH  CUT GRN BEAN                ,101 OZ    ,001,Vest Choice Fancy Cut Green Beans,NULL
2,5,BST-CH PINTO BEANS                  ,102 OZ    ,001,NULL,NULL
2,5,BST-CH  SWEET PEAS                  ,106 OZ    ,001,NULL,NULL
2,6,MT OLV KOSHER DILLS                 ,80 OZ     ,001,Mt. Olive Kosher Dill Pickles,Mt Olive Pickles                                                                                                                                                                                                                                               
2,6,MT OLV SOUR PICKLES                 ,80 OZ     ,001,NULL,Mt Olive Pickles                                                                                                                                                                                                                                               
2,6,MT OLV DILL PICKLES                 ,80 OZ     ,001,Mt. Olive Whole Dill Pickles,Mt Olive Pickles                                                                                                                                                                                                                                               
2,6,MT OLV HAMB CHIP                    ,80 OZ     ,001,Mt. Olive Hamburger Dill Chips,NULL
2,1,AL SAVE MARA CHERRY                 ,10 OZ     ,001,Always Save Maraschino Cherries,NULL
2,1,BST-CH MARSCHNO CHRY                ,6 OZ      ,001,NULL,NULL
2,1,BST-CH M CHRY W STEM                ,10 OZ     ,001,NULL,NULL
2,1,OREG BLUEBERRIES                    ,15 OZ     ,001,NULL,NULL
2,1,BST-CH RTP CHERRIES                 ,15 OZ     ,001,NULL,NULL
2,1,OREG BLACKBERRIES                   ,15 OZ     ,001,NULL,NULL
2,1,SSWT ONES DRIED PLUM                ,6 OZ      ,001,NULL,NULL
2,1,BST-CH DRY CHERRIES                 ,5 OZ      ,001,NULL,NULL
2,1,S MAID PIT PLUM ZIP                 ,7 OZ      ,001,NULL,NULL
2,1,BST-CH BT SZ PRUNES                 ,18 OZ     ,001,Best Choice Bite Size Prunes,NULL
2,2,SMAID PITTED DATES                  ,8 OZ      ,001,NULL,NULL
